 ,Total_Index,Manufacturing,MetalMachinery_Electrical,Information_Electronic,Chemical,Consumer_Goods,Electricity_GasSupply,Water_Supply
2014M06,100.23,99.75,105.11,98.07,100.53,96.15,106.59,102.47
2014M07,104.14,103.31,109.21,99.16,106.7,104.95,115.56,106.03
2014M08,103.94,103.37,103.82,103.03,104.57,102.84,111.88,105.54
2014M09,102.42,102.25,103.6,105.74,97.26,94.71,104.78,102.5
2014M10,105.34,105.83,108.36,107.33,102.77,101.4,98.41,104.53
2014M11,101.23,101.81,103.53,104.29,98.07,95.72,93.08,100.49
2014M12,104.94,105.76,114.25,104.33,100.8,107.37,93.46,103.84
2015M01,102.39,103.17,106.99,103.08,101.23,101.15,91.88,103.32
2015M02,85.39,85.81,82.97,87.21,89.69,77.33,79.23,92.01
2015M03,104.91,105.93,110.81,105.73,104.74,100.59,92.02,98.21
2015M04,99.52,100.3,104.14,98.95,101.9,96.54,89.94,93.02
2015M05,100.37,100.53,104.68,97.67,105.78,95.28,98.46,98.46
2015M06,100.44,99.86,105.06,97.17,102.06,98.44,108.1,99.85
2015M07,101.16,100.5,108.01,96.34,102.1,102.75,109.65,103.11
2015M08,96.97,96.13,97.07,95.08,96.99,98.66,107.63,102.35
2015M09,96.57,96.2,96.56,95.3,98.14,96.85,101.33,98.47
2015M10,97.93,97.65,98.6,95.55,100.54,100.86,101.3,101.95
2015M11,93.4,93.48,94.89,90.81,95.76,99.88,91.85,98.25
2015M12,97.38,97.98,99.8,93.69,102.73,106.09,88.67,105.01
2016M01,93.36,93.41,98.31,88.52,98.79,98.44,91.94,100.93
2016M02,78.78,78.35,78.18,75.6,88.44,73.76,82.72,94.01
2016M03,100.24,100.58,107.74,96.26,104.49,100.81,96.18,99.06
2016M04,93.92,93.69,98.76,90.22,97.6,93.84,96.48,97.08
2016M05,100.43,100.1,105.47,96.45,103.79,101.01,104.73,100.12
2016M06,102.05,101.61,104.06,101.33,101.19,98.78,108.01,97.69
2016M07,102.07,101.14,101.62,100.37,103.52,99.61,113.78,101.32
2016M08,105.48,105.03,102.59,105.72,103.01,110.17,111.42,103.86
2016M09,104.43,104.75,91.61,115.51,94.36,95.65,101.03,99.98
2016M10,104.73,104.57,100.17,108.38,99.04,104.24,106.99,103.6
2016M11,107.3,108.42,103.67,112.79,100.89,109.71,94.14,99.01
2016M12,107.17,108.39,107.82,108.81,104.83,114.02,92.57,103.32
2017M01,99.24,99.99,94.79,102.04,99.39,101.04,89.75,101.91
2017M02,92.11,92.87,88.29,95.68,90.54,92.03,82.82,90.88
2017M03,108.82,110.09,111.49,110.11,104.5,117.48,93.8,101.26
2017M04,94.83,94.91,99.58,91.74,93.47,104.33,93.82,97.68
2017M05,103.75,103.62,104.53,101.51,102.29,115.03,105.34,104.95
2017M06,107.46,107.13,108.15,108.33,105.15,102.61,112.44,100.39
2017M07,104.39,103.36,104.49,104.2,104.71,94.33,117.41,104.6
2017M08,111.51,110.9,108.78,113.17,108.17,108.66,119.84,105.11
2017M09,109.74,109.6,105.01,115.98,99.74,104.58,112.46,100.82
2017M10,107.54,107.65,100.91,115.8,98.09,97.39,106.69,103.72
2017M11,109.05,110.1,109.43,115.52,99.61,103.23,97.08,98.92
2017M12,111.67,113.06,109.94,119.76,102.82,104.13,95.18,105.32
2018M01,108.57,109.53,110.62,109.86,108.47,106,97.07,103.9
2018M02,87.75,88.02,80.89,92.47,89.61,77.32,84.29,92.72
2018M03,115.24,116.77,115.49,122.74,106.58,109.6,96.89,103.68
2018M04,102.75,103.33,101.88,107.41,97.55,96.85,95.94,100.47
2018M05,111.41,111.47,114.43,112.31,105.54,111.33,111.46,106.08
2018M06,107.45,107.44,109.18,109.2,101.26,105.96,108.66,101.88
2018M07,109.29,108.86,109.99,109.51,106,107.36,115.71,103.97
2018M08,112.75,112.65,109.44,115.9,107.38,112.77,115.34,104.4
2018M09,111.57,111.83,101.99,123.12,99.76,101.25,109.75,100.59
2018M10,116.97,118.21,109.2,129.18,104.44,110.68,102.92,99.88
2018M11,111.85,113.12,106.64,119.97,104.13,110.38,97.44,95.73
2018M12,110.49,111.68,105.79,119.12,100.43,109.46,96.02,103.43
2019M01,107.2,108.05,107.58,107.09,105.54,115.13,97.03,102.1
2019M02,85.61,85.84,79.94,88.24,88.93,77.86,82.55,91.53
2019M03,104.24,104.81,103.37,107.57,99.49,103.2,97.55,100.98
2019M04,103.68,104.05,102.24,106.55,99.3,103.22,99.7,100.3
2019M05,108.55,108.62,104.88,110.42,107.87,106.26,108.61,103.64
2019M06,106.69,106.32,98.43,113.46,100.63,99.18,112.25,102.11
2019M07,113.73,113.36,104.37,120.27,107.33,109.99,120.13,104.25
2019M08,115.64,115.39,98.23,130.27,103,106.65,120.73,103.52
2019M09,110.89,111.31,93.84,129.95,93.33,98.2,106.99,100.99
2019M10,113.95,114.69,99.61,130.01,98.07,108.66,106,103.87
2019M11,114.06,115.51,97.41,133.02,98.07,107.64,96.94,101.43
2019M12,117.44,119.12,104,134.06,102.2,115.43,96.99,106.24
2020M01,105.55,106.63,86.78,123.71,97.48,89.88,92.74,103.4
2020M02,103.74,104.79,93.22,116.65,94.97,93.76,91.83,94.95
2020M03,116.58,118.1,103.89,136.64,97.95,104,99.46,102.89
2020M04,108.03,109.23,92.96,128.52,90.6,93.87,94.22,100.12
2020M05,110.37,110.68,89.69,133.19,89.74,96.19,107.49,103.54
2020M06,114.3,114.45,92.63,139.43,90.54,96.93,113.98,102.02
2020M07,117.07,116.8,96.41,137.73,96.65,105.86,121.85,105.82
2020M08,120.3,120.69,95.15,148.9,92.18,106.15,117.4,105
2020M09,123.82,125.03,101.6,153.19,95.76,107.47,111.45,102.05
2020M10,121.28,122.59,101.04,148.63,96.71,103.55,107.06,106.61
2020M11,122.84,124.78,105.7,149.41,99.28,105.49,101.4,103.42
2020M12,129.49,131.99,119.24,155.36,102,112.98,101.25,106.96
2021M01,126.3,128.67,112.35,151.97,103.03,109.24,100.38,104.19
2021M02,106.79,108.71,89.62,133.95,85.94,83.54,85.42,93.48
2021M03,136.1,139.31,119.98,168.97,106.21,114.25,101.49,101.79
2021M04,123.6,125.76,111.84,147.86,100.02,106.46,100.68,95.21
2021M05,129.48,130.74,115.63,153.06,105.8,111.26,117.22,98.69
2021M06,135.12,137.11,116.14,167.64,103.63,112.86,115.04,97.54
2021M07,134.42,135.49,118.92,160.9,106.97,113.18,124.4,104.65
2021M08,136.61,138.05,116.56,168.4,105.56,113.67,122.55,104.61
2021M09,138.8,140.78,113.59,179.04,101.48,109.66,119.09,101.2
2021M10,135.64,137.46,114.44,170.62,100.67,113.3,117.34,102.79
2021M11,137.06,140.18,116.15,175.07,101.93,113.78,103.95,97.99
2021M12,140.79,144.1,120.27,179.73,104.6,116.5,105.14,103.48
2022M01,137.17,140.34,111.64,177.88,104.51,111.1,101.4,104.85
2022M02,116.99,119.18,92.69,155.26,88.38,83.52,93.24,90.68
2022M03,140.04,143.1,122.96,179.14,99.41,115.35,106.58,99.55
