 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
2005M04,47.18,47.06,153.44,45.13,74.22,19.85,82.46,91.93,77.39,98.03
2005M05,47.55,47.42,142.14,45.39,75.36,20.19,82.48,89.23,85.44,95.7
2005M06,47.5,47.4,139.49,45.31,73.81,21.14,80.77,88.01,87.09,99.36
2005M07,46.58,46.48,130.36,44.33,69.26,21,80.97,88.57,91.93,101.69
2005M08,48.85,48.73,146.58,46.56,70.13,22.94,85.09,93.33,92.17,102.32
2005M09,48.52,48.39,146.62,46.36,70.05,23.42,83.37,90.04,84.43,100
2005M10,49.61,49.5,135.3,47.46,71.17,24.24,86.73,89.03,83.2,102.7
2005M11,49.37,49.27,140.34,47.35,71.02,24.51,84.32,90.08,76.9,100.09
2005M12,50.18,50.06,159.12,48.1,73.98,24.59,83.33,92.96,77.8,102.57
2006M01,47.86,47.72,161.84,45.78,69.86,22.99,81.35,89.8,77.41,103.55
2006M02,43.57,43.46,136.9,41.73,63.21,22.26,73.99,72.32,69.09,92.24
2006M03,51.92,51.79,159.91,49.83,79.49,25.44,84.35,91.68,77.54,102.64
2006M04,49.58,49.45,149.63,47.5,73.67,24.47,83.43,85.95,79.16,100.12
2006M05,51.08,50.96,146.59,48.87,75.51,24.79,87.36,89.89,85.99,103.75
2006M06,49.87,49.74,142.14,47.65,74,24.24,84.03,88.03,88.24,101.66
2006M07,49.79,49.68,135.16,47.44,73.41,24.53,81.77,88.55,96.32,106.11
2006M08,51.33,51.21,135.28,48.96,74.04,26.13,83.72,91.11,96.55,106.34
2006M09,50.01,49.9,132.8,47.82,71.74,26.43,79.79,86.73,86.6,102.94
2006M10,50.08,49.98,131.56,47.94,71.62,26.69,79.26,87.54,83.92,106.19
2006M11,49.98,49.89,130.73,47.93,71.02,26.21,82.31,87.52,79.5,101.91
2006M12,49.49,49.39,133.37,47.38,73.43,24.2,82.32,89.54,81.46,104.22
2007M01,50.85,50.76,130.12,48.74,75.22,25.27,83.41,92.14,82.2,104.73
2007M02,41.3,41.23,101.72,39.5,58.27,21.09,71.81,69.66,69.92,94.74
2007M03,52.28,52.21,124.3,50.19,77.23,26.52,86.17,90.79,81.81,103.67
2007M04,51.56,51.49,117.57,49.51,75.08,26.84,86.15,84.97,80.42,99.79
2007M05,54.85,54.77,123.48,52.61,78.12,29.38,90.03,90.96,89.51,104.31
2007M06,53.54,53.45,119.31,51.27,73.19,30.05,87.7,85.59,92.24,101.79
2007M07,55.89,55.8,121.47,53.46,76.27,31.35,91.65,88.72,100.24,106.8
2007M08,56.2,56.13,115.73,53.87,74.03,32.29,92.63,91.49,95.8,105.26
2007M09,53.93,53.83,121.53,51.73,69.67,32.62,86.84,82.37,88.23,102.63
2007M10,58.43,58.38,106.7,56.26,77.2,35.42,92.38,89.68,86.97,105.24
2007M11,56.67,56.61,109.1,54.62,74.98,34.25,90.31,86.89,80.12,101.76
2007M12,56.58,56.51,117.03,54.45,76.32,33.34,90.68,87.48,83.73,104.27
2008M01,57.32,57.23,127.64,55.14,77.11,33.12,92.3,93.98,84.41,104.28
2008M02,48.52,48.47,101.86,46.56,63.14,29.23,80.85,69.03,76.92,95.85
2008M03,57.65,57.55,129.71,55.48,77.26,34.96,90.61,85.76,83.07,102.87
2008M04,57.58,57.48,131.96,55.46,78.14,34.59,90.36,86.43,81.87,100.02
2008M05,58.31,58.21,127.31,56.08,78.42,34.72,94.01,86.22,87.77,103.3
2008M06,56.58,56.49,116.67,54.33,75.06,34.39,90.7,80.92,90.16,99.68
2008M07,57.58,57.52,107.12,55.26,73.36,35.99,90.22,86.63,95.11,103.32
2008M08,57.4,57.35,102.31,55.07,71.92,37.88,84.2,83.54,96.46,103.4
2008M09,53.98,53.93,92.67,51.85,66.56,37.45,73.13,78.67,87.63,99.47
2008M10,51.07,51,97.65,48.94,64.75,33.44,71.27,80.6,85.81,102.23
2008M11,41.24,41.17,99.8,39.38,53.46,24.32,62.37,73.24,72.33,98.76
2008M12,38.92,38.84,109.13,37.09,53,19.46,64.6,79.37,69.84,99.7
2009M01,32.18,32.11,79.5,29.82,39.96,15.11,66.67,59.34,73.44,97.82
2009M02,35.09,34.99,95.64,32.96,46.69,17.33,70.07,60.23,70.98,90.1
2009M03,42.27,42.17,107.67,40.17,52.08,23.12,81.85,71.19,76.05,99.46
2009M04,45.95,45.86,103.25,43.99,52.69,27.84,83.96,73.26,77.09,96.38
2009M05,48.35,48.26,107.81,46.27,52.36,30.97,83.68,75.46,81.5,101.57
