"工業生產指數-月 依 期間, 指標 與 種類"

" ","總指數"," ","總指數(不含土石採取業)"," ","礦業及土石採取業"," ","製造業"," ","金屬機電工業"," ","資訊電子工業"," ","化學工業"," ","民生工業"," ","電力及燃氣供應業"," ","用水供應業"," "
" ","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)"
"2006M02",43.57,14.09,43.46,14.10,136.90,1.03,41.73,14.64,63.21,8.76,22.26,38.00,73.99,3.31,72.32,5.47,69.09,3.54,92.24,-0.02
"2006M03",51.92,6.50,51.79,6.54,159.91,-6.43,49.83,6.84,79.49,1.24,25.44,27.45,84.35,-1.48,91.68,-1.99,77.54,0.05,102.64,1.82
"2006M04",49.58,5.09,49.45,5.08,149.63,-2.48,47.50,5.25,73.67,-0.74,24.47,23.27,83.43,1.18,85.95,-6.50,79.16,2.29,100.12,2.13
"2006M05",51.08,7.42,50.96,7.47,146.59,3.13,48.87,7.67,75.51,0.20,24.79,22.78,87.36,5.92,89.89,0.74,85.99,0.64,103.75,8.41
"2006M06",49.87,4.99,49.74,4.94,142.14,1.90,47.65,5.16,74.00,0.26,24.24,14.66,84.03,4.04,88.03,0.02,88.24,1.32,101.66,2.31
"2006M07",49.79,6.89,49.68,6.88,135.16,3.68,47.44,7.02,73.41,5.99,24.53,16.81,81.77,0.99,88.55,-0.02,96.32,4.78,106.11,4.35
"2006M08",51.33,5.08,51.21,5.09,135.28,-7.71,48.96,5.15,74.04,5.58,26.13,13.91,83.72,-1.61,91.11,-2.38,96.55,4.75,106.34,3.93
"2006M09",50.01,3.07,49.90,3.12,132.80,-9.43,47.82,3.15,71.74,2.41,26.43,12.85,79.79,-4.29,86.73,-3.68,86.60,2.57,102.94,2.94
"2006M10",50.08,0.95,49.98,0.97,131.56,-2.76,47.94,1.01,71.62,0.63,26.69,10.11,79.26,-8.61,87.54,-1.67,83.92,0.87,106.19,3.40
"2006M11",49.98,1.24,49.89,1.26,130.73,-6.85,47.93,1.22,71.02,0.00,26.21,6.94,82.31,-2.38,87.52,-2.84,79.50,3.38,101.91,1.82
"2006M12",49.49,-1.38,49.39,-1.34,133.37,-16.18,47.38,-1.50,73.43,-0.74,24.20,-1.59,82.32,-1.21,89.54,-3.68,81.46,4.70,104.22,1.61
"2007M01",50.85,6.25,50.76,6.37,130.12,-19.60,48.74,6.47,75.22,7.67,25.27,9.92,83.41,2.53,92.14,2.61,82.20,6.19,104.73,1.14
"2007M02",41.30,-5.21,41.23,-5.13,101.72,-25.70,39.50,-5.34,58.27,-7.82,21.09,-5.26,71.81,-2.95,69.66,-3.68,69.92,1.20,94.74,2.71
"2007M03",52.28,0.69,52.21,0.81,124.30,-22.27,50.19,0.72,77.23,-2.84,26.52,4.25,86.17,2.16,90.79,-0.97,81.81,5.51,103.67,1.00
"2007M04",51.56,3.99,51.49,4.13,117.57,-21.43,49.51,4.23,75.08,1.91,26.84,9.69,86.15,3.26,84.97,-1.14,80.42,1.59,99.79,-0.33
"2007M05",54.85,7.38,54.77,7.48,123.48,-15.77,52.61,7.65,78.12,3.46,29.38,18.52,90.03,3.06,90.96,1.19,89.51,4.09,104.31,0.54
"2007M06",53.54,7.36,53.45,7.46,119.31,-16.06,51.27,7.60,73.19,-1.09,30.05,23.97,87.70,4.37,85.59,-2.77,92.24,4.53,101.79,0.13
"2007M07",55.89,12.25,55.80,12.32,121.47,-10.13,53.46,12.69,76.27,3.90,31.35,27.80,91.65,12.08,88.72,0.19,100.24,4.07,106.80,0.65
"2007M08",56.20,9.49,56.13,9.61,115.73,-14.45,53.87,10.03,74.03,-0.01,32.29,23.57,92.63,10.64,91.49,0.42,95.80,-0.78,105.26,-1.02
"2007M09",53.93,7.84,53.83,7.88,121.53,-8.49,51.73,8.18,69.67,-2.89,32.62,23.42,86.84,8.84,82.37,-5.03,88.23,1.88,102.63,-0.30
"2007M10",58.43,16.67,58.38,16.81,106.70,-18.90,56.26,17.36,77.20,7.79,35.42,32.71,92.38,16.55,89.68,2.44,86.97,3.63,105.24,-0.89
"2007M11",56.67,13.39,56.61,13.47,109.10,-16.55,54.62,13.96,74.98,5.58,34.25,30.68,90.31,9.72,86.89,-0.72,80.12,0.78,101.76,-0.15
"2007M12",56.58,14.33,56.51,14.42,117.03,-12.25,54.45,14.92,76.32,3.94,33.34,37.77,90.68,10.16,87.48,-2.30,83.73,2.79,104.27,0.05
"2008M01",57.32,12.72,57.23,12.75,127.64,-1.91,55.14,13.13,77.11,2.51,33.12,31.06,92.30,10.66,93.98,2.00,84.41,2.69,104.28,-0.43
"2008M02",48.52,17.48,48.47,17.56,101.86,0.14,46.56,17.87,63.14,8.36,29.23,38.60,80.85,12.59,69.03,-0.90,76.92,10.01,95.85,1.17
"2008M03",57.65,10.27,57.55,10.23,129.71,4.35,55.48,10.54,77.26,0.04,34.96,31.83,90.61,5.15,85.76,-5.54,83.07,1.54,102.87,-0.77
"2008M04",57.58,11.68,57.48,11.63,131.96,12.24,55.46,12.02,78.14,4.08,34.59,28.87,90.36,4.89,86.43,1.72,81.87,1.80,100.02,0.23
"2008M05",58.31,6.31,58.21,6.28,127.31,3.10,56.08,6.60,78.42,0.38,34.72,18.18,94.01,4.42,86.22,-5.21,87.77,-1.94,103.30,-0.97
"2008M06",56.58,5.68,56.49,5.69,116.67,-2.21,54.33,5.97,75.06,2.55,34.39,14.44,90.70,3.42,80.92,-5.46,90.16,-2.25,99.68,-2.07
"2008M07",57.58,3.02,57.52,3.08,107.12,-11.81,55.26,3.37,73.36,-3.82,35.99,14.80,90.22,-1.56,86.63,-2.36,95.11,-5.12,103.32,-3.26
"2008M08",57.40,2.14,57.35,2.17,102.31,-11.60,55.07,2.23,71.92,-2.85,37.88,17.31,84.20,-9.10,83.54,-8.69,96.46,0.69,103.40,-1.77
"2008M09",53.98,0.09,53.93,0.19,92.67,-23.75,51.85,0.23,66.56,-4.46,37.45,14.81,73.13,-15.79,78.67,-4.49,87.63,-0.68,99.47,-3.08
"2008M10",51.07,-12.60,51.00,-12.64,97.65,-8.48,48.94,-13.01,64.75,-16.13,33.44,-5.59,71.27,-22.85,80.60,-10.12,85.81,-1.33,102.23,-2.86
"2008M11",41.24,-27.23,41.17,-27.27,99.80,-8.52,39.38,-27.90,53.46,-28.70,24.32,-28.99,62.37,-30.94,73.24,-15.71,72.33,-9.72,98.76,-2.95
"2008M12",38.92,-31.21,38.84,-31.27,109.13,-6.75,37.09,-31.88,53.00,-30.56,19.46,-41.63,64.60,-28.76,79.37,-9.27,69.84,-16.59,99.70,-4.38
"2009M01",32.18,-43.86,32.11,-43.89,79.50,-37.72,29.82,-45.92,39.96,-48.18,15.11,-54.38,66.67,-27.77,59.34,-36.86,73.44,-13.00,97.82,-6.19
"2009M02",35.09,-27.68,34.99,-27.81,95.64,-6.11,32.96,-29.21,46.69,-26.05,17.33,-40.71,70.07,-13.33,60.23,-12.75,70.98,-7.72,90.10,-6.00
"2009M03",42.27,-26.68,42.17,-26.72,107.67,-16.99,40.17,-27.60,52.08,-32.59,23.12,-33.87,81.85,-9.67,71.19,-16.99,76.05,-8.45,99.46,-3.31
"2009M04",45.95,-20.20,45.86,-20.22,103.25,-21.76,43.99,-20.68,52.69,-32.57,27.84,-19.51,83.96,-7.08,73.26,-15.24,77.09,-5.84,96.38,-3.64
"2009M05",48.35,-17.08,48.26,-17.09,107.81,-15.32,46.27,-17.49,52.36,-33.23,30.97,-10.80,83.68,-10.99,75.46,-12.48,81.50,-7.14,101.57,-1.67
"2009M06",51.14,-9.61,51.06,-9.61,105.74,-9.37,48.94,-9.92,57.43,-23.49,33.23,-3.37,86.19,-4.97,74.83,-7.53,87.61,-2.83,98.49,-1.19
"2009M07",53.63,-6.86,53.56,-6.88,102.89,-3.95,51.31,-7.15,60.25,-17.87,35.21,-2.17,87.72,-2.77,78.82,-9.02,92.86,-2.37,103.08,-0.23
"2009M08",52.95,-7.75,52.92,-7.72,90.43,-11.61,50.59,-8.14,54.93,-23.62,36.18,-4.49,85.29,1.29,76.02,-9.00,94.22,-2.32,100.49,-2.81
"2009M09",55.18,2.22,55.13,2.23,97.96,5.71,53.07,2.35,61.34,-7.84,37.76,0.83,86.25,17.94,78.36,-0.39,90.32,3.07,99.07,-0.40
"2009M10",56.19,10.03,56.12,10.04,102.49,4.96,54.33,11.01,63.40,-2.08,38.92,16.39,85.56,20.05,80.72,0.15,84.95,-1.00,101.52,-0.69
"2009M11",55.96,35.69,55.90,35.78,101.24,1.44,54.56,38.55,63.66,19.08,39.46,62.25,84.80,35.96,79.38,8.38,74.70,3.28,97.31,-1.47
"2009M12",58.79,51.05,58.72,51.18,118.61,8.69,57.19,54.19,71.53,34.96,39.07,100.77,90.61,40.26,90.75,14.34,80.69,15.54,100.22,0.52
"2010M01",57.21,77.78,57.12,77.89,117.13,47.33,55.49,86.08,68.62,71.72,38.26,153.21,91.04,36.55,82.02,38.22,81.97,11.61,100.23,2.46
"2010M02",50.49,43.89,50.41,44.07,100.86,5.46,48.85,48.21,54.40,16.51,35.69,105.94,78.51,12.05,69.59,15.54,75.18,5.92,89.63,-0.52
"2010M03",61.85,46.32,61.78,46.50,117.01,8.67,60.23,49.94,73.59,41.30,42.75,84.90,92.19,12.63,89.83,26.18,84.61,11.26,100.36,0.90
"2010M04",62.36,35.71,62.27,35.78,123.11,19.23,61.01,38.69,72.95,38.45,44.18,58.69,92.41,10.06,88.14,20.31,78.79,2.21,96.97,0.61
"2010M05",63.69,31.73,63.59,31.77,125.95,16.83,62.01,34.02,72.79,39.02,45.34,46.40,95.54,14.17,86.27,14.33,87.12,6.90,101.76,0.19
"2010M06",64.36,25.85,64.27,25.87,127.61,20.68,62.65,28.01,74.16,29.13,46.29,39.30,94.04,9.11,85.31,14.01,88.70,1.24,98.60,0.11
"2010M07",65.98,23.03,65.87,22.98,130.72,27.05,63.91,24.56,76.24,26.54,46.78,32.86,95.08,8.39,90.77,15.16,98.02,5.56,103.63,0.53
"2010M08",64.34,21.51,64.22,21.35,134.62,48.87,62.23,23.01,75.46,37.37,46.21,27.72,90.22,5.78,83.61,9.98,96.82,2.76,103.79,3.28
"2010M09",61.92,12.21,61.81,12.12,129.89,32.59,60.03,13.11,74.58,21.58,44.44,17.69,85.71,-0.63,79.98,2.07,90.15,-0.19,100.59,1.53
"2010M10",62.80,11.76,62.69,11.71,131.92,28.71,61.07,12.41,77.57,22.35,43.95,12.92,89.75,4.90,85.18,5.53,86.73,2.10,103.69,2.14
"2010M11",65.11,16.35,64.99,16.26,137.41,35.73,63.72,16.79,77.96,22.46,46.73,18.42,89.02,4.98,94.03,18.46,81.50,9.10,99.56,2.31
"2010M12",67.58,14.95,67.45,14.87,145.22,22.43,66.21,15.77,86.93,21.53,46.60,19.27,92.67,2.27,102.29,12.72,82.68,2.47,102.57,2.34
"2011M01",65.82,15.05,65.70,15.02,139.98,19.51,64.20,15.70,78.84,14.89,46.11,20.52,94.34,3.62,95.96,17.00,86.83,5.93,102.50,2.26
"2011M02",55.87,10.66,55.79,10.67,103.77,2.89,54.40,11.36,64.26,18.13,41.32,15.77,79.89,1.76,69.36,-0.33,76.12,1.25,91.57,2.16
"2011M03",68.43,10.64,68.35,10.63,122.98,5.10,67.03,11.29,85.76,16.54,49.25,15.20,94.89,2.93,89.76,-0.08,85.56,1.12,101.01,0.65
"2011M04",65.31,4.73,65.22,4.74,123.68,0.46,64.00,4.90,78.18,7.17,47.78,8.15,89.91,-2.71,89.19,1.19,80.52,2.20,98.19,1.26
"2011M05",67.27,5.62,67.20,5.68,120.74,-4.14,65.85,6.19,78.65,8.05,50.05,10.39,89.72,-6.09,93.61,8.51,85.10,-2.32,100.25,-1.48
"2011M06",65.55,1.85,65.48,1.88,117.72,-7.75,63.73,1.72,78.76,6.20,47.99,3.67,85.97,-8.58,89.71,5.16,92.92,4.76,99.66,1.08
"2011M07",66.35,0.56,66.27,0.61,115.36,-11.75,64.36,0.70,80.33,5.36,47.89,2.37,87.18,-8.31,92.65,2.07,97.34,-0.69,103.48,-0.14
"2011M08",64.95,0.95,64.89,1.04,108.88,-19.12,62.99,1.22,80.58,6.79,47.05,1.82,82.52,-8.53,89.64,7.21,95.74,-1.12,103.37,-0.40
"2011M09",61.09,-1.34,61.01,-1.29,114.90,-11.54,59.20,-1.38,77.15,3.45,43.04,-3.15,80.63,-5.93,85.26,6.60,90.00,-0.17,100.13,-0.46
"2011M10",63.13,0.53,63.07,0.61,107.44,-18.56,61.43,0.59,77.71,0.18,44.71,1.73,85.45,-4.79,90.19,5.88,87.91,1.36,102.70,-0.95
"2011M11",60.80,-6.62,60.73,-6.55,114.32,-16.80,59.12,-7.22,75.08,-3.69,42.15,-9.80,84.75,-4.80,88.94,-5.41,84.89,4.16,98.90,-0.66
"2011M12",60.74,-10.12,60.65,-10.08,127.95,-11.89,59.04,-10.83,79.88,-8.11,40.39,-13.33,83.54,-9.85,93.14,-8.95,84.45,2.14,101.91,-0.64
"2012M01",55.27,-16.03,55.20,-15.98,103.50,-26.06,53.36,-16.88,64.05,-18.76,38.26,-17.02,79.37,-15.87,80.25,-16.37,84.76,-2.38,101.07,-1.40
"2012M02",59.64,6.75,59.56,6.76,110.55,6.53,58.04,6.69,74.12,15.34,40.95,-0.90,85.86,7.47,82.11,18.38,82.73,8.68,93.10,1.67
"2012M03",67.10,-1.94,67.00,-1.98,128.01,4.09,65.59,-2.15,82.75,-3.51,47.72,-3.11,93.07,-1.92,92.87,3.46,86.67,1.30,101.64,0.62
"2012M04",64.93,-0.58,64.82,-0.61,130.17,5.25,63.60,-0.63,78.28,0.13,47.45,-0.69,89.66,-0.28,87.85,-1.50,80.70,0.22,97.77,-0.43
"2012M05",67.20,-0.10,67.12,-0.12,118.17,-2.13,65.82,-0.05,81.80,4.01,49.18,-1.74,90.69,1.08,92.64,-1.04,84.17,-1.09,101.48,1.23
"2012M06",63.54,-3.07,63.46,-3.08,109.93,-6.62,61.85,-2.95,77.32,-1.83,46.96,-2.15,82.32,-4.25,86.29,-3.81,88.35,-4.92,98.76,-0.90
"2012M07",66.92,0.86,66.85,0.88,115.38,0.02,64.89,0.82,77.87,-3.06,49.63,3.63,88.56,1.58,91.75,-0.97,98.68,1.38,102.53,-0.92
"2012M08",67.48,3.90,67.42,3.90,106.98,-1.75,65.56,4.08,77.25,-4.13,50.22,6.74,89.94,8.99,94.60,5.53,97.38,1.71,101.45,-1.86
"2012M09",64.89,6.22,64.84,6.28,104.87,-8.73,63.16,6.69,72.78,-5.66,49.59,15.22,85.54,6.09,89.03,4.42,90.65,0.72,98.97,-1.16
"2012M10",66.64,5.56,66.58,5.57,109.24,1.68,65.11,5.99,77.81,0.13,49.57,10.87,90.72,6.17,90.85,0.73,87.53,-0.43,102.07,-0.61
"2012M11",65.33,7.45,65.27,7.48,114.17,-0.13,64.02,8.29,76.61,2.04,49.05,16.37,88.77,4.74,87.82,-1.26,81.47,-4.03,97.73,-1.18
"2012M12",63.77,4.99,63.69,5.01,126.29,-1.30,62.25,5.44,77.46,-3.03,45.65,13.02,88.35,5.76,88.27,-5.23,83.49,-1.14,99.94,-1.93
"2013M01",67.00,21.22,66.92,21.23,113.36,9.53,65.51,22.77,80.16,25.15,47.67,24.59,94.60,19.19,95.28,18.73,87.02,2.67,100.72,-0.35
"2013M02",54.76,-8.18,54.70,-8.16,91.70,-17.05,53.39,-8.01,60.34,-18.59,41.25,0.73,79.37,-7.56,69.20,-15.72,73.34,-11.35,91.77,-1.43
"2013M03",67.31,0.31,67.26,0.39,105.84,-17.32,65.99,0.61,80.60,-2.60,49.61,3.96,94.25,1.27,87.87,-5.38,84.32,-2.71,102.61,0.95
"2013M04",66.07,1.76,66.00,1.82,112.70,-13.42,64.70,1.73,76.56,-2.20,50.90,7.27,88.63,-1.15,84.23,-4.12,84.05,4.15,98.12,0.36
"2013M05",69.42,3.30,69.36,3.34,108.30,-8.35,67.75,2.93,78.26,-4.33,54.50,10.82,90.71,0.02,88.73,-4.22,93.43,11.00,102.42,0.93
"2013M06",67.15,5.68,67.08,5.70,111.18,1.14,65.44,5.80,75.07,-2.91,53.31,13.52,86.01,4.48,85.65,-0.74,92.10,4.24,100.76,2.03
"2013M07",70.84,5.86,70.77,5.86,104.20,-9.69,68.99,6.32,80.29,3.11,54.87,10.56,93.96,6.10,90.12,-1.78,98.62,-0.06,104.74,2.16
"2013M08",69.35,2.77,69.30,2.79,98.90,-7.55,67.41,2.82,78.39,1.48,53.94,7.41,90.81,0.97,87.93,-7.05,99.33,2.00,103.96,2.47
"2013M09",66.59,2.62,66.54,2.62,96.23,-8.24,64.82,2.63,73.37,0.81,53.35,7.58,85.26,-0.33,83.40,-6.32,93.45,3.09,98.94,-0.03
"2013M10",68.44,2.70,68.40,2.73,100.33,-8.16,66.92,2.78,79.34,1.97,53.35,7.63,89.07,-1.82,87.11,-4.12,89.93,2.74,100.95,-1.10
"2013M11",66.63,1.99,66.58,2.01,110.52,-3.20,65.38,2.12,78.26,2.15,50.92,3.81,90.09,1.49,85.46,-2.69,82.08,0.75,98.23,0.51
"2013M12",69.53,9.03,69.48,9.09,111.72,-11.54,68.33,9.77,83.11,7.29,53.02,16.14,94.49,6.95,87.00,-1.44,83.60,0.13,101.84,1.90
"2014M01",66.81,-0.28,66.74,-0.27,112.46,-0.79,65.49,-0.03,77.88,-2.84,49.83,4.53,92.84,-1.86,89.25,-6.33,84.01,-3.46,102.11,1.38
"2014M02",59.88,9.35,59.86,9.43,80.29,-12.44,58.69,9.93,68.56,13.62,46.76,13.36,83.63,5.37,68.35,-1.23,76.36,4.12,89.48,-2.50
"2014M03",70.55,4.81,70.49,4.80,111.44,5.29,69.39,5.15,82.83,2.77,55.28,11.43,94.01,-0.25,86.33,-1.75,85.13,0.96,100.34,-2.21
"2014M04",70.57,6.81,70.51,6.83,113.06,0.32,69.56,7.51,83.46,9.01,56.59,11.18,90.06,1.61,86.15,2.28,82.36,-2.01,98.12,0.00
"2014M05",73.11,5.32,73.07,5.35,103.58,-4.36,71.72,5.86,86.05,9.95,59.12,8.48,91.52,0.89,86.42,-2.60,92.47,-1.03,102.13,-0.28
"2014M06",72.78,8.38,72.74,8.44,101.51,-8.70,71.17,8.76,83.93,11.80,59.15,10.95,91.62,6.52,84.25,-1.63,96.32,4.58,101.59,0.82
"2014M07",75.63,6.76,75.60,6.82,107.43,3.10,73.73,6.87,87.37,8.82,60.02,9.39,96.72,2.94,91.02,1.00,104.51,5.97,105.11,0.35
"2014M08",75.10,8.29,75.05,8.30,109.42,10.64,73.35,8.81,82.55,5.31,61.83,14.63,94.68,4.26,89.36,1.63,101.04,1.72,104.63,0.64
"2014M09",74.11,11.29,74.06,11.30,108.91,13.18,72.63,12.05,82.71,12.73,63.24,18.54,88.69,4.02,83.21,-0.23,95.06,1.72,101.62,2.71
"2014M10",75.98,11.02,75.93,11.01,114.33,13.95,74.90,11.92,86.76,9.35,63.89,19.76,93.88,5.40,86.50,-0.70,89.13,-0.89,103.63,2.65
"2014M11",72.91,9.43,72.86,9.43,108.47,-1.85,71.95,10.05,82.35,5.23,61.79,21.35,89.92,-0.19,83.03,-2.84,84.19,2.57,99.63,1.43
"2014M12",75.79,9.00,75.73,9.00,113.27,1.39,74.93,9.66,91.60,10.22,61.51,16.01,93.35,-1.21,92.57,6.40,84.87,1.52,102.95,1.09
"2015M01",74.19,11.05,74.13,11.07,119.58,6.33,73.38,12.05,86.38,10.91,60.93,22.28,94.11,1.37,88.28,-1.09,82.94,-1.27,102.43,0.31
"2015M02",62.06,3.64,62.03,3.63,90.17,12.31,61.20,4.28,66.56,-2.92,52.27,11.78,83.08,-0.66,67.53,-1.20,72.52,-5.03,91.22,1.94
"2015M03",76.10,7.87,76.07,7.92,103.51,-7.12,75.40,8.66,89.99,8.64,62.46,12.99,97.56,3.78,87.34,1.17,84.15,-1.15,97.36,-2.97
"2015M04",72.32,2.48,72.27,2.50,101.54,-10.19,71.52,2.82,84.77,1.57,58.78,3.87,94.47,4.90,83.52,-3.05,82.01,-0.42,92.22,-6.01
"2015M05",72.72,-0.53,72.69,-0.52,99.44,-4.00,71.50,-0.31,84.21,-2.14,58.12,-1.69,97.56,6.60,82.68,-4.33,89.63,-3.07,97.61,-4.43
"2015M06",72.75,-0.04,72.72,-0.03,97.37,-4.08,71.03,-0.20,84.62,0.82,57.69,-2.47,94.38,3.01,85.24,1.18,98.22,1.97,98.99,-2.56
"2015M07",73.39,-2.96,73.35,-2.98,97.76,-9.00,71.59,-2.90,87.02,-0.40,57.13,-4.82,95.20,-1.57,88.57,-2.69,99.87,-4.44,102.22,-2.75
"2015M08",70.29,-6.40,70.28,-6.36,86.14,-21.28,68.40,-6.75,78.18,-5.29,56.30,-8.94,90.81,-4.09,84.68,-5.24,98.62,-2.40,101.47,-3.02
"2015M09",69.93,-5.64,69.91,-5.60,87.68,-19.49,68.37,-5.87,77.76,-5.98,56.23,-11.08,92.11,3.86,83.24,0.04,92.71,-2.47,97.63,-3.93
"2015M10",71.02,-6.53,70.98,-6.52,101.68,-11.06,69.52,-7.18,79.77,-8.06,56.25,-11.96,94.54,0.70,87.41,1.05,92.09,3.32,101.07,-2.47
"2015M11",67.87,-6.91,67.82,-6.92,102.91,-5.13,66.67,-7.34,76.64,-6.93,53.78,-12.96,90.05,0.14,85.68,3.19,83.60,-0.70,97.41,-2.23
"2015M12",70.90,-6.45,70.83,-6.47,112.96,-0.27,69.99,-6.59,81.23,-11.32,55.28,-10.13,96.70,3.59,91.65,-0.99,81.01,-4.55,104.11,1.13
"2016M01",68.60,-7.53,68.56,-7.51,97.74,-18.26,67.45,-8.08,80.48,-6.83,53.02,-12.98,93.61,-0.53,86.11,-2.46,83.76,0.99,100.07,-2.30
"2016M02",58.05,-6.46,58.04,-6.43,74.32,-17.58,56.78,-7.22,63.65,-4.37,45.99,-12.01,83.18,0.12,65.12,-3.57,75.47,4.07,93.20,2.17
"2016M03",73.57,-3.32,73.55,-3.31,94.79,-8.42,72.55,-3.78,88.24,-1.94,57.67,-7.67,98.62,1.09,88.26,1.05,87.53,4.02,98.21,0.87
"2016M04",68.85,-4.80,68.81,-4.79,94.67,-6.77,67.51,-5.61,80.55,-4.98,54.12,-7.93,91.73,-2.90,82.33,-1.42,87.50,6.69,96.25,4.37
"2016M05",73.50,1.07,73.46,1.06,98.14,-1.31,72.00,0.70,86.58,2.81,57.46,-1.14,97.47,-0.09,88.77,7.37,95.00,5.99,99.26,1.69
"2016M06",74.44,2.32,74.42,2.34,90.82,-6.73,72.83,2.53,85.11,0.58,60.14,4.25,95.16,0.83,87.02,2.09,98.12,-0.10,96.85,-2.16
"2016M07",74.49,1.50,74.47,1.53,90.56,-7.36,72.55,1.34,82.83,-4.81,59.85,4.76,97.13,2.03,87.34,-1.39,103.47,3.60,100.45,-1.73
"2016M08",77.01,9.56,77.00,9.56,91.72,6.48,75.35,10.16,84.06,7.52,62.96,11.83,96.72,6.51,96.02,13.39,101.44,2.86,102.97,1.48
"2016M09",75.99,8.67,76.00,8.71,77.54,-11.56,74.89,9.54,75.13,-3.38,68.64,22.07,88.49,-3.93,84.66,1.71,92.06,-0.70,99.12,1.53
"2016M10",76.36,7.52,76.36,7.58,87.00,-14.44,74.96,7.83,81.59,2.28,64.93,15.43,92.74,-1.90,90.03,3.00,96.87,5.19,102.71,1.62
"2016M11",78.43,15.56,78.42,15.63,92.90,-9.73,77.92,16.87,85.62,11.72,67.45,25.42,94.73,5.20,94.85,10.70,84.55,1.14,98.16,0.77
"2016M12",78.38,10.55,78.34,10.60,102.72,-9.07,77.82,11.19,88.52,8.97,65.09,17.75,97.70,1.03,98.63,7.62,84.57,4.39,102.43,-1.61
"2017M01",72.47,5.64,72.43,5.64,93.85,-3.98,71.69,6.29,78.24,-2.78,60.77,14.62,92.80,-0.87,87.96,2.15,82.06,-2.03,101.03,0.96
"2017M02",67.43,16.16,67.42,16.16,75.72,1.88,66.79,17.63,73.17,14.96,57.27,24.53,84.62,1.73,79.82,22.57,75.86,0.52,90.09,-3.34
"2017M03",79.70,8.33,79.68,8.33,95.67,0.93,79.15,9.10,92.49,4.82,65.44,13.47,98.61,-0.01,101.53,15.04,86.37,-1.33,100.39,2.22
"2017M04",69.67,1.19,69.65,1.22,85.03,-10.18,68.55,1.54,82.47,2.38,54.98,1.59,88.12,-3.94,89.95,9.26,85.20,-2.63,96.84,0.61
"2017M05",75.90,3.27,75.86,3.27,101.42,3.34,74.50,3.47,86.48,-0.12,60.46,5.22,96.22,-1.28,98.84,11.34,95.48,0.51,104.05,4.83
"2017M06",78.71,5.74,78.71,5.76,84.29,-7.19,77.18,5.97,89.62,5.30,64.68,7.55,98.92,3.95,90.12,3.56,101.64,3.59,99.53,2.77
"2017M07",76.39,2.55,76.38,2.56,89.44,-1.24,74.39,2.54,86.58,4.53,62.01,3.61,98.54,1.45,83.57,-4.32,106.32,2.75,103.70,3.24
"2017M08",81.46,5.78,81.46,5.79,90.91,-0.88,79.68,5.75,90.32,7.45,67.23,6.78,101.82,5.27,94.92,-1.15,108.43,6.89,104.21,1.20
"2017M09",80.04,5.33,80.02,5.29,91.33,17.78,78.62,4.98,87.17,16.03,68.68,0.06,94.06,6.29,92.27,8.99,101.06,9.78,99.95,0.84
"2017M10",78.36,2.62,78.36,2.62,81.66,-6.14,77.12,2.88,83.64,2.51,68.73,5.85,92.61,-0.14,84.80,-5.81,96.62,-0.26,102.83,0.12
"2017M11",79.89,1.86,79.88,1.86,87.01,-6.34,79.30,1.77,90.86,6.12,68.98,2.27,93.97,-0.80,90.44,-4.65,87.79,3.83,98.07,-0.09
"2017M12",81.46,3.93,81.44,3.96,92.49,-9.96,81.02,4.11,91.18,3.00,71.07,9.19,96.71,-1.01,90.71,-8.03,86.50,2.28,104.41,1.93
"2018M01",79.31,9.44,79.30,9.49,87.95,-6.29,78.57,9.60,93.06,18.94,64.31,5.83,102.52,10.47,93.78,6.62,88.86,8.29,103.01,1.96
"2018M02",63.76,-5.44,63.76,-5.43,62.76,-17.12,62.78,-6.00,67.49,-7.76,54.23,-5.31,83.58,-1.23,69.12,-13.41,77.56,2.24,91.93,2.04
"2018M03",83.86,5.22,83.86,5.25,84.02,-12.18,83.41,5.38,96.91,4.78,71.43,9.15,101.04,2.46,96.43,-5.02,89.13,3.20,102.79,2.39
"2018M04",75.35,8.15,75.34,8.17,80.91,-4.85,74.44,8.59,85.69,3.90,63.68,15.82,92.14,4.56,84.98,-5.53,87.89,3.16,99.60,2.85
"2018M05",81.98,8.01,81.96,8.04,96.48,-4.87,80.62,8.21,96.28,11.33,66.88,10.62,100.05,3.98,97.37,-1.49,101.88,6.70,105.17,1.08
"2018M06",78.81,0.13,78.80,0.11,84.75,0.55,77.42,0.31,91.50,2.10,64.91,0.36,95.37,-3.59,92.42,2.55,99.65,-1.96,101.01,1.49
"2018M07",80.02,4.75,80.01,4.75,86.70,-3.06,78.56,5.61,92.47,6.80,65.28,5.27,99.60,1.08,93.68,12.10,101.80,-4.25,103.07,-0.61
"2018M08",82.51,1.29,82.51,1.29,82.32,-9.45,81.01,1.67,91.61,1.43,68.71,2.20,101.28,-0.53,98.25,3.51,105.56,-2.65,103.57,-0.61
"2018M09",81.11,1.34,81.10,1.35,86.71,-5.06,79.84,1.55,84.88,-2.63,72.40,5.42,93.80,-0.28,88.82,-3.74,99.99,-1.06,99.94,-0.01
"2018M10",84.60,7.96,84.59,7.95,92.80,13.64,83.88,8.77,91.30,9.16,74.86,8.92,98.75,6.63,95.99,13.20,94.40,-2.30,99.24,-3.49
