 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
1991M01,-,23.26,-,22.42,37.52,5.03,44.26,110.71,32.5,62.1
1991M02,-,18.86,-,18.15,29.23,4.13,36.32,91.03,26.54,57.25
1991M03,-,23.87,-,23.01,38.41,5.44,44.57,112.09,33.6,62.46
1991M04,-,23.41,-,22.54,39.04,5.42,42.41,107.76,33.56,61.16
1991M05,-,24.84,-,23.77,40.74,5.81,43.95,115.07,38.61,63.93
1991M06,-,24.09,-,22.93,39.6,5.64,41.99,110.94,40.2,63.05
1991M07,-,24.95,-,23.64,41.88,5.83,42.12,115.96,43.67,67.57
1991M08,-,25.72,-,24.45,42.53,5.91,44.41,120.68,43.5,68.39
1991M09,-,25.34,-,24.27,44.23,5.75,44.7,114.59,38.99,66.91
1991M10,-,26.17,-,25.26,45.97,5.92,47.63,116.94,36.2,67.51
1991M11,-,26.14,-,25.33,46.33,5.92,47.36,118.03,34.42,66.95
1991M12,-,26.96,-,26.15,48,5.99,48.29,125.34,34.81,66.67
1992M01,-,26.01,-,25.13,44.34,5.71,47.82,122.85,34.92,66.33
1992M02,-,20.34,-,19.53,33.54,4.44,39.13,91.93,29.35,61.95
1992M03,-,25.92,-,25,43.55,5.95,48.63,116.09,36.2,65.41
1992M04,-,25.68,-,24.78,43.32,5.96,47.81,115.13,35.7,64.15
1992M05,-,26.17,-,25.13,45.68,6.04,47.12,115.67,38.79,67.25
1992M06,-,25.59,-,24.42,45.7,6.01,44.17,111,40.95,67.63
1992M07,-,26.29,-,24.9,46.03,6.06,44.63,116.79,46.13,69.95
1992M08,-,26.08,-,24.67,45.9,5.72,45.63,115.8,45.95,70.68
1992M09,-,24.92,-,23.73,43.83,5.68,43.84,108.93,40.79,70.26
1992M10,-,25.95,-,24.9,45.66,6.06,45.76,114.06,38.28,75.42
1992M11,-,25.28,-,24.34,45.28,5.92,45.19,109.2,35.43,71.27
1992M12,-,27.26,-,26.33,49.03,6.47,48.29,118.86,36.72,73.38
1993M01,-,21.83,-,20.83,36.66,4.73,41.26,97.08,33.03,73.36
1993M02,-,24.4,-,23.51,42.89,5.85,44.33,104.62,33.54,66.61
1993M03,-,26.95,-,25.94,47.15,6.63,48.24,114.77,38.08,73.36
1993M04,-,26.17,-,25.14,46.34,6.47,46.21,109.98,37.84,70.75
