 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
1988M02,-,0.22,-,-0.11,4.73,6.09,-0.25,-6.1,3.58,10.35
1988M03,-,3.09,-,2.79,8.65,8.24,2.3,-3.27,7.19,7.71
1988M04,-,1.3,-,0.86,4.44,6.61,2.26,-5.56,5.46,7.1
1988M05,-,1.53,-,0.86,7,10.71,0.27,-7.18,10.53,8.68
1988M06,-,2.7,-,1.88,5.32,10.78,2.96,-6.33,13.23,9.24
1988M07,-,2.41,-,1.37,0.09,6.61,6.47,-5.85,14.34,9.1
1988M08,-,3.88,-,3.77,4.71,13.26,7.19,-5.82,6.77,8.39
1988M09,-,5.34,-,4.84,4.93,7.43,11.78,-3.99,12.07,6.67
1988M10,-,3.8,-,3.79,11.42,4.81,5.4,-3.91,5.78,7.86
1988M11,-,6.76,-,6.92,18.72,10.02,4.17,0.57,4.96,6.99
1988M12,-,5.73,-,5.78,14.96,7.47,7.17,-3.01,8.16,8.47
1989M01,-,4.71,-,4.56,8.43,6.8,4.31,1.96,4.88,7.92
1989M02,-,-2.44,-,-2.67,1.61,-4.18,-3.72,-1.53,-1.17,4.75
1989M03,-,9.54,-,9.82,18.23,12.68,8.83,4.39,4.43,6.9
1989M04,-,6.06,-,6.04,14,6.84,7.08,-1.37,6.6,7.06
1989M05,-,8.33,-,8.8,13.76,12.69,6.7,3.72,3.36,6.77
1989M06,-,5.76,-,6.29,11.9,7.66,4.93,1.17,1.69,5.19
1989M07,-,3.19,-,3.59,8.92,4.96,1.7,-0.03,1.17,6.23
1989M08,-,5.22,-,5.47,9.75,3.77,5.98,1.67,4.46,7.36
1989M09,-,1.86,-,1.93,6.47,2.1,-0.78,-0.15,1.72,7.2
1989M10,-,0.86,-,0.61,3.52,0.21,2.66,-4.1,2.34,8.06
1989M11,-,2.74,-,2.36,4.88,2.28,3.5,-2.17,5.64,10.24
1989M12,-,-2.63,-,-3.37,-0.94,-6.2,-2.03,-4.85,3.27,7.9
1990M01,-,-12.77,-,-13.53,-14.75,-16.02,-12.13,-12.49,-2.2,7.92
1990M02,-,14.04,-,13.8,22.65,18.53,9.67,9.13,19.14,7.84
1990M03,-,-1.58,-,-2.04,0.77,-3.19,0.13,-6.82,7.11,8.92
1990M04,-,-2.25,-,-2.67,1.18,0.4,-4.34,-5.78,4.92,6.02
1990M05,-,-2.94,-,-3.48,-0.16,-0.57,-4.21,-7.23,5.69,6.2
1990M06,-,-2.19,-,-2.71,0.42,3.85,-5.15,-6.56,6.44,5.32
1990M07,-,0.09,-,-0.58,2.13,3.35,-2.17,-3.21,8.37,5.3
