,礦業及土石採取業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
mae,8.369683716661486,4.898338980864945,6.775732227553598,2.985878141395279,6.142354907105187,1.9609284262948978,1.4548031009316371
mape,0.09669456270141381,0.05912059999544136,0.10497697054479317,0.03162530245878499,0.06581671709501453,0.020767912728357346,0.01459978190283
rmse,9.685998838298268,5.760786004653122,7.8652902737084425,3.4988966909328796,7.501289658211768,2.5992226553111464,1.8287579137313774
R2,-0.3792248387728083,0.34485631496561475,-0.36308316462282253,0.5428194324843061,0.13368633389648987,0.9052750942732051,0.7360769674979347
