,礦業及土石採取業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
mae,5.499571863810221,5.357315991719563,3.79664161046346,3.669627189636231,6.914049504597983,2.7176269785563143,2.014137624104817
mape,0.06491256647963219,0.06207334398496925,0.05822974506051198,0.038758342970819926,0.07413533384540787,0.028775474662030523,0.019932554554271547
rmse,6.846246448350869,6.376326588690027,5.2198572300060535,4.420028487428552,8.202303760154663,3.5056537721381136,2.555344804893983
R2,0.31094910383965846,0.19737223388498293,0.3996422894038475,0.2704153972338662,-0.0357978165420314,0.8276881053278832,0.4846955707959161
